Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
255,"What should I wear, now Im all nervous.",Ross,fear,negative,24,8,3,14,"00:11:15,549","00:11:19,969"
256,": I know, we did it!! Hey, that was incredible, huh?!",Mr. Treeger,joy,positive,25,0,4,4,"00:20:36,693","00:20:40,321"
257,"I know, it was amazing! I mean, we totally nailed it, it was beautiful.",Joey,joy,positive,25,1,4,4,"00:20:40,572","00:20:44,075"
258,": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball.",Mr. Treeger,joy,positive,25,2,4,4,"00:20:44,284","00:20:51,916"
259,"Oh well, okay, good luck.",Joey,joy,positive,25,3,4,4,"00:20:52,459","00:20:56,462"
260,: Yeah.,Mr. Treeger,neutral,neutral,25,4,4,4,"00:20:54,962","00:20:56,462"
261,Unless you wanna practice the Foxtrot again? Or-or the Tango?,Joey,neutral,neutral,25,5,4,4,"00:20:56,713","00:21:00,716"
262,": Ahh, thanks but no. You see I-I think Im ready to dance with girls.",Mr. Treeger,neutral,neutral,25,6,4,4,"00:21:01,093","00:21:09,350"
263,Okay.,Joey,neutral,neutral,25,7,4,4,"0:21:08,100","0:21:08,742"
264,: Yeah.,Mr. Treeger,neutral,neutral,25,8,4,4,"0:21:08,742","0:21:09,402"
265,Go get em Treeger.,Joey,neutral,neutral,25,9,4,4,"00:21:09,601","00:21:11,852"
266,": Right.  Hey, ahh, you wanna come? Marge has a girlfriend.",Mr. Treeger,neutral,neutral,25,10,4,4,"00:21:16,275","00:21:19,860"
267,Really?,Joey,surprise,positive,25,11,4,4,"00:21:21,029","00:21:22,113"
268,": Yeah, you could dance real good with her, shes the same size as me.",Mr. Treeger,neutral,neutral,25,12,4,4,"00:21:22,364","00:21:24,991"
269,"No, Im good.",Joey,neutral,neutral,25,13,4,4,"00:21:25,367","00:21:26,867"
270,"Oh God, this is so nerve wracking! How-how do you do this?",Ross,surprise,negative,26,0,5,18,"00:09:41,414","00:09:44,958"
271,"Well, unfortunately, I don't get many callbacks so",Joey,neutral,neutral,26,1,5,18,"00:09:45,126","00:09:48,128"
272,Is it a good sign that they asked us to hang around after the audition?,Carol,surprise,positive,26,2,5,18,"00:09:49,046","00:09:51,715"
273,Who knows?,Joey,neutral,neutral,26,3,5,18,"00:09:51,882","00:09:53,508"
274,"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much.",The Casting Director,neutral,neutral,26,4,5,18,"00:09:55,219","00:10:02,976"
275,Yes!! I knew it!!  Bye-bye! So long! Later!,Ross,joy,positive,26,5,5,18,"00:10:03,144","00:10:13,403"
276,Oh this is great! I might actually get to play Ben's dad!,Joey,joy,positive,26,6,5,18,"00:10:15,281","00:10:17,824"
277,Yeah!,Ross,joy,positive,26,7,5,18,"00:10:17,824","00:10:18,743"
278,"Actually, that can't happen.",The Casting Director,neutral,neutral,26,8,5,18,"00:10:18,743","00:10:20,243"
279,"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben.",The Casting Director,neutral,neutral,26,9,5,18,"00:10:20,411","00:10:25,665"
280,So it'll be either you two  or you two.,The Casting Director,neutral,neutral,26,10,5,18,"00:10:25,833","00:10:28,585"
281,"Man, this is gonna be kinda weird.",Joey,sadness,negative,26,11,5,18,"00:10:29,920","00:10:35,508"
282,"Yeah, it is.",Ross,neutral,neutral,26,12,5,18,"00:10:32,757","00:10:35,508"
283,"No, we-we're gonna be like best friends, that's why it's gonna be weird.",Ross,neutral,neutral,26,13,5,18,"00:10:40,514","00:10:44,142"
284,"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue.",Monica,sadness,negative,27,0,5,24,"00:20:18,592","00:20:24,805"
285,"Okay, all right, all right, all right! Okay!  Okay, here's something, here's something blue and new.",Chandler,joy,positive,27,1,5,24,"00:21:04,763","00:21:11,060"
286,Please!,Ross,anger,negative,28,0,4,15,"0:19:16,989","0:19:19,201"
287,Are you kidding?,Ross,anger,negative,28,1,4,15,"0:19:19,201","0:19:19,673"
288,"I-I hurt three huge men, I gave a guy a bloody noseI mean I-Im not proud of it but, I really am.",Ross,anger,negative,28,2,4,15,"0:19:19,673","0:19:19,821"
289,"And its all because of you, wonderful, amazing you.",Ross,joy,positive,28,3,4,15,"00:19:27,916","00:19:29,917"
290,I think youve got concussion.,Emily,fear,negative,28,4,4,15,"00:19:30,085","00:19:34,839"
291,"No, no, Im serious. Thank you.",Ross,joy,positive,28,5,4,15,"00:19:35,007","00:19:37,592"
292,Youre welcome.  Im sorry. Did I hurt you?,Emily,fear,negative,28,6,4,15,"00:19:38,802","00:19:46,142"
293,"Its worth the pain.  Yknow what, you know what? Its not.",Ross,sadness,negative,28,7,4,15,"00:19:47,728","00:19:50,021"
294,Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David.,Monica,surprise,positive,29,0,9,23,"00:08:23,586","00:08:31,426"
295,"I do! Want a hint? huh? ""I do""  ""I do"".",Chandler,joy,positive,29,1,9,23,"00:08:26,839","00:08:31,426"
296,"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee.",Monica,neutral,neutral,29,2,9,23,"00:08:40,228","00:08:43,188"
297,David is going to propose to Phoebe.,Chandler,joy,positive,29,3,9,23,"0:08:44,083","0:08:45,668"
298,What?  Why?,Monica,surprise,negative,29,4,9,23,"0:08:45,668","0:08:48,470"
300,"Chandler, we have talked about this.",Monica,anger,negative,29,6,9,23,"00:08:54,575","00:08:56,952"
301,You are not supposed to give people advice!,Monica,anger,negative,29,7,9,23,"00:08:57,119","00:08:59,871"
302,Now couldn't you just have made some sort of inappropriate joke?,Monica,anger,negative,29,8,9,23,"00:09:01,541","00:09:04,209"
303,I,Chandler,neutral,neutral,29,9,9,23,"00:09:04,377","00:09:06,503"
304,They've only been going out for a few weeks and Phoebe is completely hung up on Mike!,Monica,anger,negative,29,10,9,23,"00:09:09,924","00:09:16,555"
305,"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone",Monica,anger,negative,29,11,9,23,"00:09:16,722","00:09:26,356"
306,"Man, that's some",Chandler,surprise,positive,29,12,9,23,"00:09:24,146","00:09:26,356"
307,"Oh, that's not what you want...",Ross,neutral,neutral,29,13,9,23,"00:30:29,953","00:30:38,126"
308,"This is my father, Paul Stevens. Dad, this is Ross Geller.",Elizabeth,neutral,neutral,30,0,6,21,"00:04:19,342","00:04:23,262"
309,It-its great to meet you Paul.,Ross,joy,positive,30,1,6,21,"00:04:23,429","00:04:25,847"
